Time21_5,Latitude,Longitude,HalfAngle,Speed,Type,AssociatedCMEID
2010-04-03T17:16Z,7.0,8.0,26.0,620.0,C,2010-04-03T09:54:00-CME-001
2010-06-13T16:42Z,17.0,117.0,30.0,500.0,C,2010-06-13T07:32:00-CME-001
2010-06-20T07:00Z,-13.0,-80.0,20.0,570.0,C,2010-06-20T03:18:00-CME-001
2010-07-03T13:30Z,-4.0,35.0,23.0,625.0,C,2010-07-03T01:30:00-CME-001
2010-07-09T07:30Z,-15.0,126.0,20.0,290.0,S,2010-07-08T22:30:00-CME-001
2010-07-29T23:30Z,-19.0,-71.0,21.0,350.0,S,2010-07-29T08:24:00-CME-001
2010-07-30T16:08Z,12.0,-68.0,48.0,750.0,C,2010-07-30T07:30:00-CME-001
2010-08-01T08:10Z,7.0,-22.0,48.0,760.0,C,2010-08-01T02:42:00-CME-001
2010-08-01T11:20Z,18.0,-48.0,38.0,1300.0,O,2010-08-01T08:20:00-CME-001
2010-08-01T17:00Z,0.0,1.0,40.0,550.0,C,2010-08-01T10:10:00-CME-001
2010-08-02T05:00Z,40.0,-145.0,35.0,686.0,C,2010-08-01T23:54:00-CME-001
2010-08-06T13:00Z,13.0,41.0,20.0,300.0,S,2010-08-06T00:00:00-CME-001
2010-08-07T23:15Z,-3.0,-46.0,27.0,750.0,C,2010-08-07T17:00:00-CME-001
2010-08-14T14:00Z,-7.0,46.0,35.0,950.0,C,2010-08-14T10:12:00-CME-001
2010-08-15T16:30Z,28.0,35.0,30.0,620.0,C,2010-08-15T08:12:00-CME-001
2010-08-18T08:40Z,-6.0,92.0,40.0,1250.0,O,2010-08-18T06:00:00-CME-001
2010-08-27T16:00Z,-40.0,67.0,30.0,780.0,C,2010-08-27T10:24:00-CME-001
2010-08-31T23:30Z,-35.0,145.0,28.0,1200.0,O,2010-08-31T21:20:00-CME-001
2010-09-05T01:18Z,3.0,20.0,50.0,400.0,S,2010-09-04T15:25:00-CME-001
2010-09-09T04:16Z,8.0,96.0,45.0,850.0,C,2010-09-08T23:26:00-CME-001
2010-09-11T13:00Z,20.0,-20.0,35.0,410.0,S,2010-09-10T23:30:00-CME-001
2010-09-22T10:00Z,22.0,-67.0,30.0,650.0,C,2010-09-22T05:00:00-CME-001
2010-10-01T08:00Z,42.0,144.0,25.0,460.0,S,2010-09-30T23:38:00-CME-001
2010-10-06T17:45Z,20.0,-10.0,30.0,360.0,S,2010-10-06T07:24:00-CME-001
2010-10-07T18:10Z,41.0,76.0,32.0,515.0,C,2010-10-07T09:36:00-CME-001
2010-10-11T11:08Z,-1.0,-13.0,35.0,350.0,S,2010-10-11T00:00:00-CME-001
2010-10-15T03:40Z,19.0,27.0,28.0,310.0,S,2010-10-14T17:48:00-CME-001
2010-10-17T20:28Z,32.0,-144.0,30.0,340.0,S,2010-10-17T08:36:00-CME-001
2010-10-22T09:20Z,45.0,10.0,27.0,400.0,S,2010-10-22T01:25:00-CME-001
2010-10-26T17:45Z,-13.0,49.0,43.0,500.0,C,2010-10-26T06:36:00-CME-001
2010-10-31T08:10Z,-11.0,140.0,30.0,430.0,S,2010-10-30T20:00:00-CME-001
2010-11-04T05:00Z,-10.0,-88.0,30.0,260.0,S,2010-11-03T15:00:00-CME-001
2010-11-09T04:00Z,25.0,-72.0,20.0,600.0,C,2010-11-08T21:08:00-CME-001
2010-11-11T20:49Z,-22.0,-7.0,25.0,877.0,C,2010-11-11T17:00:00-CME-001
2010-11-26T03:20Z,-25.0,140.0,28.0,330.0,S,2010-11-25T15:12:00-CME-001
