Flare ID,Begin Time,Peak Time,End Time,Class Type,Source Location,Active Region,Instruments,Linked Events Activity ID
2010-04-03T09:04:00-FLR-001,2010-04-03T09:04Z,2010-04-03T09:54Z,2010-04-03T10:58Z,B7.4,S25W03,11059,GOES14: SEM/XRS 1.0-8.0,2010-04-03T09:54:00-CME-001
2010-06-12T00:30:00-FLR-001,2010-06-12T00:30Z,2010-06-12T00:57Z,2010-06-12T01:02Z,M2.0,N22W43,11081,GOES14: SEM/XRS 1.0-8.0,None
2010-08-07T17:55:00-FLR-001,2010-08-07T17:55Z,2010-08-07T18:24Z,2010-08-07T18:47Z,M1.0,N14E37,11093,GOES14: SEM/XRS 1.0-8.0,None
2010-08-14T09:38:00-FLR-001,2010-08-14T09:38Z,2010-08-14T10:05Z,2010-08-14T10:31Z,C4.4,N11W65,11093,GOES15: SEM/XRS 1.0-8.0,2010-08-14T12:30:00-SEP-001
2010-08-18T04:45:00-FLR-001,2010-08-18T04:45Z,2010-08-18T05:48Z,2010-08-18T06:51Z,C4.5,N18W88,11099,GOES15: SEM/XRS 1.0-8.0,2010-08-18T06:00:00-CME-001
2010-10-16T19:07:00-FLR-001,2010-10-16T19:07Z,2010-10-16T19:12Z,2010-10-16T19:15Z,M2.9,S20W26,11112,GOES14: SEM/XRS 1.0-8.0,None
2011-01-28T00:44:00-FLR-001,2011-01-28T00:44Z,2011-01-28T01:03Z,2011-01-28T01:10Z,M1.3,N17W88,11149,GOES15: SEM/XRS 1.0-8.0,None
2011-02-09T01:23:00-FLR-001,2011-02-09T01:23Z,2011-02-09T01:31Z,2011-02-09T01:35Z,M1.9,N16W70,11153,GOES15: SEM/XRS 1.0-8.0,None
2011-02-13T17:28:00-FLR-001,2011-02-13T17:28Z,2011-02-13T17:38Z,2011-02-13T17:47Z,M6.6,S20E04,11158,GOES15: SEM/XRS 1.0-8.0,None
2011-02-14T17:20:00-FLR-001,2011-02-14T17:20Z,2011-02-14T17:26Z,2011-02-14T17:32Z,M2.2,S20W04,11158,GOES15: SEM/XRS 1.0-8.0,None
2011-02-15T01:44:00-FLR-001,2011-02-15T01:44Z,2011-02-15T01:56Z,2011-02-15T02:06Z,X2.2,S20W10,11158,GOES15: SEM/XRS 1.0-8.0,2011-02-15T02:25:00-CME-001
2011-02-16T01:32:00-FLR-001,2011-02-16T01:32Z,2011-02-16T01:39Z,2011-02-16T01:46Z,M1.0,S21W28,11158,GOES15: SEM/XRS 1.0-8.0,None
2011-02-18T09:55:00-FLR-001,2011-02-18T09:55Z,2011-02-18T10:11Z,2011-02-18T10:15Z,M6.6,S20W63,11158,GOES15: SEM/XRS 1.0-8.0,None
2011-02-24T07:23:00-FLR-001,2011-02-24T07:23Z,2011-02-24T07:35Z,2011-02-24T07:42Z,M3.5,N14E87,11163,GOES15: SEM/XRS 1.0-8.0,2011-02-24T08:00:00-CME-001
2011-02-28T12:38:00-FLR-001,2011-02-28T12:38Z,2011-02-28T12:52Z,2011-02-28T13:03Z,M1.1,N28E39,11164,GOES15: SEM/XRS 1.0-8.0,None
2011-03-07T13:44:00-FLR-001,2011-03-07T13:44Z,2011-03-07T14:30Z,2011-03-07T15:08Z,M2.0,N11E21,11166,GOES15: SEM/XRS 1.0-8.0,2011-03-07T14:40:00-CME-001
2011-03-07T19:43:00-FLR-001,2011-03-07T19:43Z,2011-03-07T20:12Z,2011-03-07T21:40Z,M3.7,N30W48,11164,GOES15: SEM/XRS 1.0-8.0,2011-03-07T20:12:00-CME-001
2011-03-08T02:24:00-FLR-001,2011-03-08T02:24Z,2011-03-08T02:29Z,2011-03-08T02:32Z,M1.3,S18W80,11165,GOES15: SEM/XRS 1.0-8.0,None
