GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2010-04-05T12:00:00-GST-001,2010-04-05T12:00Z,2010-04-05T12:00Z,7,NOAA,None
2010-08-03T21:00:00-GST-001,2010-08-03T21:00Z,2010-08-03T21:00Z,6,NOAA,2010-08-01T08:20:00-CME-001
2011-02-04T22:00:00-GST-001,2011-02-04T19:30Z,2011-02-04T19:30Z,6,NOAA,2011-02-04T01:30:00-HSS-001
2011-02-04T22:00:00-GST-001,2011-02-04T19:30Z,2011-02-04T22:00Z,6,NOAA,2011-02-04T01:30:00-HSS-001
2011-03-01T18:00:00-GST-001,2011-03-01T18:00Z,2011-03-01T18:00Z,6,NOAA,2011-03-01T05:00:00-HSS-001
2011-03-11T21:00:00-GST-001,2011-03-11T21:00Z,2011-03-11T21:00Z,6,NOAA,2011-03-07T14:40:00-CME-001;2011-03-07T20:12:00-CME-001;
2011-04-06T18:00:00-GST-001,2011-04-06T18:00Z,2011-04-06T18:00Z,6,NOAA,None
2011-05-28T06:00:00-GST-001,2011-05-28T06:00Z,2011-05-28T06:00Z,6,NOAA,None
2011-05-29T04:30:00-GST-001,2011-05-29T04:30Z,2011-05-29T04:30Z,6,NOAA,None
2011-06-04T21:00:00-GST-001,2011-06-04T21:00Z,2011-06-04T21:00Z,6,NOAA,2011-06-02T07:40:00-CME-001
2011-08-05T20:57:00-GST-001,2011-08-05T20:57Z,2011-08-05T20:57Z,6,NOAA,2011-08-03T13:55:00-CME-001;2011-08-04T04:10:00-CME-001;2011-08-05T19:20:00-MPC-001;
2011-08-05T20:57:00-GST-001,2011-08-05T20:57Z,2011-08-05T21:00Z,8,NOAA,2011-08-03T13:55:00-CME-001;2011-08-04T04:10:00-CME-001;2011-08-05T19:20:00-MPC-001;
2011-08-05T20:57:00-GST-001,2011-08-05T20:57Z,2011-08-06T00:00Z,7,NOAA,2011-08-03T13:55:00-CME-001;2011-08-04T04:10:00-CME-001;2011-08-05T19:20:00-MPC-001;
2011-09-09T15:00:00-GST-001,2011-09-09T15:00Z,2011-09-09T15:00Z,6,NOAA,2011-09-06T22:40:00-CME-001
2011-09-17T13:30:00-GST-001,2011-09-17T13:30Z,2011-09-17T13:30Z,6,NOAA,2011-09-14T01:54:00-CME-001
2011-09-26T16:44:00-GST-001,2011-09-26T16:44Z,2011-09-26T16:44Z,6,NOAA,2011-09-24T13:09:00-CME-001;2011-09-26T13:00:00-MPC-001;
2011-10-25T21:00:00-GST-001,2011-10-24T21:00Z,2011-10-24T21:00Z,7,NOAA,2011-10-22T01:36:00-CME-001
2011-10-25T21:00:00-GST-001,2011-10-24T21:00Z,2011-10-25T21:00Z,7,NOAA,2011-10-22T01:36:00-CME-001
2012-01-24T18:00:00-GST-001,2012-01-24T18:00Z,2012-01-24T21:00Z,5,NOAA,2012-01-23T04:00:00-CME-001;2012-01-24T14:30:00-IPS-001;
2012-03-07T06:00:00-GST-001,2012-03-07T06:00Z,2012-03-07T06:00Z,6,NOAA,2012-03-05T04:00:00-CME-001
2012-03-09T03:00:00-GST-001,2012-03-09T03:00Z,2012-03-09T06:00Z,7,NOAA,2012-03-07T00:36:00-CME-001;2012-03-07T01:25:00-CME-001;
2012-03-09T03:00:00-GST-001,2012-03-09T03:00Z,2012-03-09T12:00Z,6,NOAA,2012-03-07T00:36:00-CME-001;2012-03-07T01:25:00-CME-001;
2012-03-12T10:30:00-GST-001,2012-03-12T10:30Z,2012-03-12T10:30Z,6,NOAA,2012-03-10T16:24:00-CME-001;2012-03-10T18:09:00-CME-001;2012-03-12T10:00:00-MPC-001;
2012-03-15T15:52:00-GST-001,2012-03-15T15:52Z,2012-03-15T15:52Z,6,NOAA,2012-03-13T17:52:00-CME-001
2012-04-24T00:00:00-GST-001,2012-04-24T00:00Z,2012-04-24T00:00Z,6,NOAA,2012-04-19T15:39:00-CME-001;2012-04-23T02:27:00-IPS-001;
2012-06-16T21:00:00-GST-001,2012-06-16T21:00Z,2012-06-16T21:00Z,6,NOAA,2012-06-13T14:00:00-CME-001;2012-06-14T14:09:00-CME-001;2012-06-16T08:55:00-IPS-001;2012-06-16T21:20:00-MPC-001;
2012-07-15T06:00:00-GST-001,2012-07-15T06:00Z,2012-07-15T09:00Z,6,NOAA,2012-07-12T16:54:00-CME-001;2012-07-14T17:26:00-IPS-001;2012-07-15T08:11:00-MPC-001;
2012-07-15T06:00:00-GST-001,2012-07-15T06:00Z,2012-07-15T12:00Z,6,NOAA,2012-07-12T16:54:00-CME-001;2012-07-14T17:26:00-IPS-001;2012-07-15T08:11:00-MPC-001;
2012-09-03T12:00:00-GST-001,2012-09-03T12:00Z,2012-09-03T12:00Z,6,NOAA,2012-08-31T20:36:00-CME-001
2012-09-05T00:00:00-GST-001,2012-09-05T00:00Z,2012-09-05T00:00Z,6,NOAA,2012-09-02T03:09:00-CME-001;2012-09-02T10:09:00-CME-001;
2012-10-01T03:00:00-GST-001,2012-10-01T03:00Z,2012-10-01T03:00Z,7,NOAA,2012-09-28T02:25:00-CME-001;2012-09-30T22:12:00-IPS-001;
2012-10-08T07:30:00-GST-001,2012-10-08T07:30Z,2012-10-08T07:30Z,6,NOAA,2012-10-05T03:24:00-CME-001;2012-10-08T04:30:00-IPS-001;2012-10-08T05:00:00-MPC-001;
2012-11-14T01:30:00-GST-001,2012-11-14T01:30Z,2012-11-14T01:30Z,6,NOAA,2012-11-09T15:24:00-CME-001;2012-11-12T22:15:00-IPS-001;
