HSS ID,Event Time,Instruments,Linked Events Activity ID
2013-06-20T06:00:00-HSS-001,2013-06-20T06:00Z,ACE: SWEPAM;ACE: MAG;,2013-06-24T15:40:00-RBE-001;
2013-05-23T22:45:00-HSS-001,2013-05-23T22:45Z,ACE: SWEPAM;ACE: MAG;,2013-05-26T17:45:00-RBE-001;2013-05-31T12:25:00-RBE-001;
2013-05-31T15:45:00-HSS-001,2013-05-31T15:45Z,ACE: SWEPAM;ACE: MAG;,2013-06-01T01:00:00-GST-001;2013-06-03T01:00:00-RBE-001;
2013-02-28T15:00:00-HSS-001,2013-02-28T15:00Z,ACE: SWEPAM;ACE: MAG;,None
2012-10-17T16:30:00-HSS-001,2012-10-17T16:30Z,ACE: SWEPAM;ACE: MAG;,None
2012-08-25T02:00:00-HSS-001,2012-08-25T02:00Z,ACE: SWEPAM;ACE: MAG;,None
2012-06-30T01:45:00-HSS-001,2012-06-30T01:45Z,ACE: SWEPAM;ACE: MAG;,2012-07-03T14:15:00-RBE-001;
2012-06-04T09:00:00-HSS-001,2012-06-04T09:00Z,ACE: SWEPAM;ACE: MAG;,2012-06-07T15:15:00-RBE-001;
2012-05-21T20:30:00-HSS-001,2012-05-21T20:30Z,ACE: SWEPAM;ACE: MAG;,None
2012-05-08T12:30:00-HSS-001,2012-05-08T12:30Z,ACE: SWEPAM;ACE: MAG;,2012-05-12T15:20:00-RBE-001;
2012-04-24T08:30:00-HSS-001,2012-04-24T08:30Z,ACE: SWEPAM;ACE: MAG;,None
2012-04-12T02:45:00-HSS-001,2012-04-12T02:45Z,ACE: SWEPAM;ACE: MAG;,None
2012-03-15T06:00:00-HSS-001,2012-03-15T06:00Z,ACE: SWEPAM;ACE: MAG;,2012-03-16T18:10:00-RBE-001;2012-03-18T14:55:00-RBE-001;2012-03-20T14:05:00-RBE-001;
2011-07-30T08:45:00-HSS-001,2011-07-30T08:45Z,ACE: SWEPAM;ACE: MAG;,None
2011-09-10T17:45:00-HSS-001,2011-09-10T17:45Z,ACE: SWEPAM;ACE: MAG;,None
2011-07-09T05:30:00-HSS-001,2011-07-09T05:30Z,ACE: SWEPAM;ACE: MAG;,None
2011-05-27T08:00:00-HSS-001,2011-05-27T08:00Z,ACE: SWEPAM;ACE: MAG;,2011-05-29T18:00:00-RBE-001;
2011-06-21T08:45:00-HSS-001,2011-06-21T08:45Z,ACE: SWEPAM;ACE: MAG;,2011-06-25T13:25:00-RBE-001;
2011-04-11T06:30:00-HSS-001,2011-04-11T06:30Z,ACE: SWEPAM;ACE: MAG;,None
2011-04-29T15:30:00-HSS-001,2011-04-29T15:30Z,ACE: SWEPAM;ACE: MAG;,2011-05-03T01:15:00-RBE-001;2011-05-04T15:25:00-RBE-001;
2011-03-10T05:45:00-HSS-001,2011-03-10T05:45Z,ACE: SWEPAM;ACE: MAG;,None
2011-04-02T04:30:00-HSS-001,2011-04-02T04:30Z,ACE: SWEPAM;ACE: MAG;,2011-04-03T14:30:00-RBE-001;
2011-02-04T01:30:00-HSS-001,2011-02-04T01:30Z,ACE: SWEPAM;ACE: MAG;,2011-02-04T22:00:00-GST-001;2011-02-06T15:20:00-RBE-001;
2011-03-01T05:00:00-HSS-001,2011-03-01T05:00Z,ACE: SWEPAM;ACE: MAG;,2011-03-01T18:00:00-GST-001;2011-03-03T17:05:00-RBE-001;2011-03-05T17:15:00-RBE-001;
2011-01-06T19:44:00-HSS-001,2011-01-06T19:44Z,ACE: SWEPAM;ACE: MAG;,None
2011-07-18T03:00:00-HSS-001,2011-07-18T03:00Z,ACE: SWEPAM;ACE: MAG;,2011-07-23T09:41:00-IPS-001;2011-07-23T14:10:00-RBE-001;
2012-03-07T04:00:00-HSS-001,2012-03-07T04:00Z,ACE: SWEPAM;ACE: MAG;,2012-03-10T16:30:00-RBE-001;2012-03-11T12:35:00-RBE-001;
2012-10-09T18:30:00-HSS-001,2012-10-09T18:30Z,ACE: SWEPAM;ACE: MAG;,2012-10-11T14:25:00-RBE-001;
2013-11-09T06:30:00-HSS-001,2013-11-09T06:30Z,ACE: MAG;ACE: SWEPAM;,None
2013-11-16T03:56:00-HSS-001,2013-11-16T03:56Z,ACE: SWEPAM;ACE: MAG;,None
2013-11-29T12:00:00-HSS-001,2013-11-29T12:00Z,ACE: SWEPAM;ACE: MAG;,2013-12-01T13:00:00-IPS-001;
2013-12-07T21:30:00-HSS-001,2013-12-07T21:30Z,ACE: SWEPAM;ACE: MAG;,2013-12-08T00:00:00-GST-001;2013-12-08T00:00:00-IPS-001;2013-12-08T02:44:00-MPC-001;
2013-12-14T13:30:00-HSS-001,2013-12-14T13:30Z,ACE: SWEPAM;ACE: MAG;,None
2014-01-01T14:00:00-HSS-001,2014-01-01T14:00Z,ACE: SWEPAM;ACE: MAG;,2014-01-01T10:10:00-IPS-001;
2014-01-21T13:10:00-HSS-001,2014-01-21T13:10Z,ACE: SWEPAM;ACE: MAG;,None
2014-01-11T14:00:00-HSS-001,2014-01-11T14:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-01-28T12:12:00-HSS-001,2014-01-28T12:12Z,ACE: SWEPAM;ACE: MAG;,None
2014-02-09T11:27:00-HSS-001,2014-02-09T11:27Z,ACE: SWEPAM;ACE: MAG;,None
2014-03-18T06:24:00-HSS-001,2014-03-18T06:24Z,ACE: SWEPAM;ACE: MAG;,None
2014-03-12T19:49:00-HSS-001,2014-03-12T19:49Z,ACE: SWEPAM;ACE: MAG;,None
2014-03-18T04:02:00-HSS-001,2014-03-18T04:02Z,ACE: SWEPAM;ACE: MAG;,None
2014-04-07T11:04:00-HSS-001,2014-04-07T11:04Z,ACE: SWEPAM;ACE: MAG;,None
2014-05-01T18:00:00-HSS-001,2014-05-01T18:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-06-10T11:30:00-HSS-001,2014-06-10T11:30Z,ACE: SWEPAM;ACE: MAG;,None
2014-07-15T00:00:00-HSS-001,2014-07-15T00:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-07-21T22:00:00-HSS-001,2014-07-21T22:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-07-28T03:12:00-HSS-001,2014-07-28T03:12Z,ACE: SWEPAM;ACE: MAG;,None
2014-08-01T00:00:00-HSS-001,2014-08-01T00:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-08-10T12:00:00-HSS-001,2014-08-10T12:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-08-28T00:00:00-HSS-001,2014-08-28T00:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-09-19T00:00:00-HSS-001,2014-09-19T00:00Z,ACE: SWEPAM;ACE: MAG;,2014-09-19T06:53:00-IPS-001;
2014-10-04T17:40:00-HSS-001,2014-10-04T17:40Z,ACE: SWEPAM;ACE: MAG;,None
2014-10-13T11:00:00-HSS-001,2014-10-13T11:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-10-20T08:00:00-HSS-001,2014-10-20T08:00Z,ACE: SWEPAM;ACE: MAG;,2014-10-22T13:20:00-RBE-001;
2014-10-30T21:56:00-HSS-001,2014-10-30T21:56Z,ACE: SWEPAM;ACE: MAG;,None
2014-11-01T06:33:00-HSS-001,2014-11-01T06:33Z,ACE: SWEPAM;ACE: MAG;,None
2014-11-05T00:00:00-HSS-001,2014-11-05T00:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-11-15T20:59:00-HSS-001,2014-11-15T20:59Z,ACE: SWEPAM;ACE: MAG;,None
2014-12-01T16:36:00-HSS-001,2014-12-01T16:36Z,ACE: SWEPAM;ACE: MAG;,None
2014-12-06T12:05:00-HSS-001,2014-12-06T12:05Z,ACE: SWEPAM;ACE: MAG;,2014-12-08T14:05:00-RBE-001;
2012-12-11T22:00:00-HSS-001,2012-12-11T22:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-12-11T22:00:00-HSS-001,2014-12-11T22:00Z,ACE: SWEPAM;ACE: MAG;,None
2014-12-28T18:00:00-HSS-001,2014-12-28T18:00Z,ACE: SWEPAM;ACE: MAG;,None
2015-01-05T00:00:00-HSS-001,2015-01-05T00:00Z,ACE: SWEPAM;ACE: MAG;,None
2015-01-21T00:17:00-HSS-001,2015-01-21T00:17Z,ACE: SWEPAM;ACE: MAG;,None
