IPS ID,Event Time,Location,Instruments,Catalog
2010-01-20T20:20:00-IPS-001,2010-01-20T20:20Z,STEREO B,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-02-05T03:33:00-IPS-001,2010-02-05T03:33Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-02-14T07:50:00-IPS-001,2010-02-14T07:50Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-03-05T18:25:00-IPS-001,2010-03-05T18:25Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-04-05T07:54:00-IPS-001,2010-04-05T07:54Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2010-04-09T18:00:00-IPS-001,2010-04-09T18:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-04-11T13:04:00-IPS-001,2010-04-11T13:04Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-04-13T22:11:00-IPS-001,2010-04-13T22:11Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-04-23T00:35:00-IPS-001,2010-04-23T00:35Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-04-30T06:00:00-IPS-001,2010-04-30T06:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-05-28T02:00:00-IPS-001,2010-05-28T02:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-05-30T15:00:00-IPS-001,2010-05-30T15:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-03T08:36:00-IPS-001,2010-06-03T08:36Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-07T04:08:00-IPS-001,2010-06-07T04:08Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-06-15T04:04:00-IPS-001,2010-06-15T04:04Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-06-16T16:20:00-IPS-001,2010-06-16T16:20Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-20T20:00:00-IPS-001,2010-06-20T20:00Z,Earth,DSCOVR: PLASMAG,SWRC_CATALOG
2010-06-23T08:00:00-IPS-001,2010-06-23T08:00Z,STEREO B,STEREO B: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-08-03T05:00:00-IPS-001,2010-08-03T05:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-08-03T14:20:00-IPS-001,2010-08-03T14:20Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-08-03T16:56:00-IPS-001,2010-08-03T16:56Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2010-08-17T17:40:00-IPS-001,2010-08-17T17:40Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-08-20T16:00:00-IPS-001,2010-08-20T16:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
