SEP ID,Event Time,Instruments,Linked Events Activity ID
2010-08-14T12:30:00-SEP-001,2010-08-14T12:30Z,GOES13: SEM/EPS >10 MeV,2010-08-14T09:38:00-FLR-001
2011-03-07T18:00:00-SEP-001,2011-03-07T18:00Z,SOHO: COSTEP 15.8-39.8 MeV,2011-03-07T14:40:00-CME-001
2011-03-08T01:00:00-SEP-001,2011-03-08T01:00Z,STEREO B: IMPACT 13-100 MeV,2011-03-07T20:12:00-CME-001
2011-03-08T01:05:00-SEP-001,2011-03-08T01:05Z,GOES13: SEM/EPS >10 MeV,2011-03-07T20:12:00-CME-001
2011-03-20T18:00:00-SEP-001,2011-03-20T18:00Z,STEREO B: IMPACT 13-100 MeV,2011-03-21T02:54:00-CME-001
2011-03-21T08:00:00-SEP-001,2011-03-21T08:00Z,SOHO: COSTEP 15.8-39.8 MeV,2011-03-21T02:54:00-CME-001
2011-03-21T11:10:00-SEP-001,2011-03-21T11:10Z,GOES13: SEM/EPS >10 MeV,2011-03-21T02:54:00-CME-001
2011-03-21T19:40:00-SEP-001,2011-03-21T19:40Z,GOES13: SEM/EPS >10 MeV,2011-03-21T02:54:00-CME-001
2011-06-04T04:00:00-SEP-001,2011-06-04T04:00Z,STEREO A: IMPACT 13-100 MeV,2011-06-04T07:09:00-CME-001
2011-06-07T08:25:00-SEP-001,2011-06-07T08:25Z,GOES13: SEM/EPS >10 MeV,2011-06-07T06:16:00-FLR-001
2011-08-04T05:00:00-SEP-001,2011-08-04T05:00Z,GOES13: SEM/EPS >100 MeV,2011-08-04T03:41:00-FLR-001
2011-08-04T05:10:00-SEP-001,2011-08-04T05:10Z,ACE: EPAM >30 MeV,2011-08-04T03:41:00-FLR-001
2011-08-09T08:40:00-SEP-001,2011-08-09T08:40Z,GOES13: SEM/EPS >100 MeV,2011-08-09T07:48:00-FLR-001
2011-08-09T08:45:00-SEP-001,2011-08-09T08:45Z,GOES13: SEM/EPS >10 MeV,2011-08-09T07:48:00-FLR-001
2011-09-07T06:00:00-SEP-001,2011-09-07T06:00Z,SOHO: COSTEP 15.8-39.8 MeV,2011-09-06T22:12:00-FLR-001
2011-09-22T11:35:00-SEP-001,2011-09-22T11:35Z,STEREO B: IMPACT 13-100 MeV,2011-09-22T10:29:00-FLR-001
2011-09-23T06:00:00-SEP-001,2011-09-23T06:00Z,SOHO: COSTEP 15.8-39.8 MeV,None
2011-09-24T11:50:00-SEP-001,2011-09-24T11:50Z,STEREO B: IMPACT 13-100 MeV,2011-09-24T09:21:00-FLR-001
2011-09-24T20:45:00-SEP-001,2011-09-24T20:45Z,GOES13: SEM/EPS >10 MeV,2011-09-24T20:29:00-FLR-001
